time,h,v
0,1,0
0.1,0.955855,-0.981
0.2,0.81361,-1.962
0.3,0.573265,-2.943
0.4,0.23482,-3.924
0.5,0.120467,2.76642
0.6,0.352964,1.78542
0.7,0.487361,0.80442
0.8,0.523658,-0.17658
0.9,0.461855,-1.15758
1,0.301952,-2.13858
1.1,0.0439488,-3.11958
1.2,0.158216,1.53625
1.3,0.267695,0.555246
1.4,0.279075,-0.425754
1.5,0.192354,-1.40675
1.6,0.00753408,-2.38775
1.7,0.121293,0.857198
1.8,0.162868,-0.123802
1.9,0.106342,-1.1048
2,0.0254734,1.12652
2.1,0.0939806,0.145522
2.2,0.0643877,-0.835478
2.3,0.0339882,0.604455
2.4,0.0502887,-0.376545
2.5,0.0152778,0.616742
2.6,0.032807,-0.364258
2.7,0.020794,0.274601
2.8,0.00410913,-0.706399
2.9,0.0153674,-0.319751
3,0.0151953,-0.0900946
