time,h,v
0,1,0
0.1,0.955855,-0.981
0.2,0.81361,-1.962
0.3,0.573265,-2.943
0.4,0.23482,-3.924
0.46,0,3.15882
0.56,0.271737,2.17782
0.66,0.445374,1.19682
0.76,0.520911,0.21582
0.86,0.498348,-0.76518
0.96,0.377685,-1.74618
1.06,0.158922,-2.72718
1.12,0,2.32105
1.22,0.18796,1.34005
1.32,0.277819,0.359046
1.42,0.269579,-0.621954
1.52,0.163238,-1.60295
1.61,0,1.7401
1.71,0.129865,0.759098
1.81,0.16163,-0.221902
1.91,0.0952943,-1.2029
1.98,0,1.32272
2.08,0.0881272,0.341722
2.18,0.0781543,-0.639278
2.26,0,0.996855
2.36,0.0555405,0.0158549
2.46,0.012981,-0.965145
2.48,0,0.812942
2.58,0.0371492,-0.168058
2.66,0,0.667001
2.76,0.0225551,-0.313999
2.81,0,0.563149
2.91,0.0121699,-0.417851
2.94,0,0.498505
3.04,0.00570554,-0.482495
